Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Agatha Christie (Direct)","North Fin > 4 - Windy Point West > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738221/agatha-christie-direct,3.0,-1,"Trad, TR",5.8,1,90,32.36755,-110.71953
"False Alarm Jam","12: Rainy Wednesday Tower > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730688/false-alarm-jam,3.1,-1,"Trad, TR",5.7,1,100,43.41361,-89.71457
"Lost Ego","Sentinel Area > Interstate State Park > Wisconsin",https://www.mountainproject.com/route/105842662/lost-ego,3.4,-1,"Trad, TR",5.8+,1,50,45.39792,-92.65095
"The Ramp","Lunch Rock > Mission Gorge > South SD > San Diego > California",https://www.mountainproject.com/route/105791625/the-ramp,3.0,-1,"Trad, TR",5.7,1,60,32.8261,-117.051
Jaws,"2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105943880/jaws,3.0,-1,"Trad, TR",5.9+,1,70,38.07178,-81.08006
"Highway Star","r. Highway Star > Lower Merced River Canyon > Yosemite National Park > California",https://www.mountainproject.com/route/106009915/highway-star,3.0,-1,"Trad, TR",5.10a,1,60,37.71956,-119.67716
"Mr. Squirrel Places a Nut","Overhang Area > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/105748594/mr-squirrel-places-a-nut,3.0,-1,"Sport, TR",5.11c,1,,39.76834,-105.21695
"The Ladder","The Bubble > Mount St. Helena > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734861/the-ladder,3.0,-1,"Sport, TR",5.10d,1,70,38.65093,-122.61322
"Double Helix (aka Rikert's Corner)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805595/double-helix-aka-rikerts-corner,3.4,-1,"Trad, TR",5.9,1,40,42.6105,-72.4711
"Dream Slate","Narcolepsy Area > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740204/dream-slate,3.0,-1,"Trad, TR",5.10a,1,70,40.6214,-111.7472
"Guillotine (aka Double Overhead Cam)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805587/guillotine-aka-double-overhead-cam,3.0,-1,"Trad, TR",5.8,1,40,42.6105,-72.4711
"Kermit's Wad","Kermits Wall > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740690/kermits-wad,3.0,-1,"Sport, TR",5.10a,1,90,40.5738,-111.7549
Dinkum,"Dinkum Gulley > Buck's Bar Dome > Cosumnes River Gorge > Placerville > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105736208/dinkum,3.0,-1,"Trad, TR",5.9,1,40,38.64881,-120.70662
"Chicken Bone","Parking Lot > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106101924/chicken-bone,2.9,-1,"Trad, Sport, TR",5.8,1,90,36.33961,-80.48101
"Test Piece","Main Area > Buck's Bar Dome > Cosumnes River Gorge > Placerville > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735224/test-piece,3.0,-1,"Trad, TR",5.8,1,30,38.64891,-120.70634
Bluebells,"Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105826905/bluebells,2.9,-1,"Trad, TR",5.9,1,90,47.32016,-91.21086
