Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"I Am Not a Nurse","Under Loch and Key Boulder > Lower Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109466896/i-am-not-a-nurse,2.0,-1,"Boulder, Alpine",V3,1,,39.83905,-105.68569
"Pink is the New Black","Under Loch and Key Boulder > Lower Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109457489/pink-is-the-new-black,1.0,-1,"Boulder, Alpine",V3,1,,39.83905,-105.68569
"Warm Up","Art Boulder > Middle Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109463739/warm-up,2.0,-1,"Boulder, Alpine",V-easy,1,,39.8387,-105.68574
"Crach Loch","Crach Loch Boulder > Middle Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109453906/crach-loch,1.0,-1,"Boulder, Alpine",V2,1,,39.83869,-105.68569
"Crach Loch Right","Crach Loch Boulder > Middle Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109453917/crach-loch-right,2.0,-1,"Boulder, Alpine",V2,1,,39.83869,-105.68569
"White Willy","Crach Loch Boulder > Middle Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109453926/white-willy,2.0,-1,"Boulder, Alpine",V3,1,,39.83869,-105.68569
"Tall, Dark, and Handsome","Black Boulder > Upper Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109466863/tall-dark-and-handsome,2.0,-1,"Boulder, Alpine",V2,1,,39.83845,-105.68602
"Black Poweraid","Black Boulder > Upper Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109453605/black-poweraid,2.0,-1,"Boulder, Alpine",V3-4,1,,39.83845,-105.68602
Compton,"Slab Boulder > Upper Ohman > Ohman Talus > Ohman Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109463698/compton,3.0,-1,"Boulder, Alpine",V3-4,1,,39.8383,-105.68598
"Mars Landing","Mars Boulder > Space Boulders > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109457505/mars-landing,3.0,-1,"Boulder, Alpine",V3,1,,39.83545,-105.68384
"Fünf Bier Bitte","Steuart Boulder > Steuart Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/110727861/funf-bier-bitte,1.0,-1,"Boulder, Alpine",V0,1,12,39.84019,-105.68224
"After While, Crocodile","Steuart Boulder > Steuart Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/110771074/after-while-crocodile,2.0,-1,"Boulder, Alpine",V3,1,,39.84019,-105.68224
"The Bridge","Keine Eier > Steuart Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/116378765/the-bridge,2.0,-1,"Boulder, Alpine",V1+,1,12,39.84068,-105.68369
"East - Right","Junction Boulder > Empire > Colorado",https://www.mountainproject.com/route/117632530/east-right,1.0,-1,Boulder,V0-1,1,12,39.7603,-105.683
"West - Left","Junction Boulder > Empire > Colorado",https://www.mountainproject.com/route/117632483/west-left,1.0,-1,Boulder,V1,1,12,39.7603,-105.683
