Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Broken Tooth","Broken Tooth > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105883194/broken-tooth,3.9,-1,Trad,5.12-,1,100,38.10072,-109.56618
"Separate Reality","j. Wildcat Falls & Above the Cookie > Lower Merced River Canyon > Yosemite National Park > California",https://www.mountainproject.com/route/105874590/separate-reality,4.0,-1,Trad,5.12a,1,50,37.7202,-119.71948
"Local Boys Do Good","Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105918383/local-boys-do-good,3.5,-1,"Trad, Sport","5.11a PG13",3,350,49.66932,-123.15753
"South Crack","Stately Pleasure Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105840361/south-crack,3.4,-1,"Trad, Alpine","5.8 R",6,600,37.83546,-119.4577
"East Face (Sunflower Tower)","The Bridger Jacks > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717769/east-face-sunflower-tower,3.5,-1,Trad,5.10+,3,250,38.08825,-109.60042
"Blue Gramma","Blue Gramma Cliff > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105811846/blue-gramma,3.5,-1,Trad,5.11,1,80,38.02641,-109.5388
"The Dike Route","Pywiak Dome > Pywiack Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105862957/the-dike-route,3.4,-1,"Trad, Sport","5.9 R",5,,37.8453,-119.444
"Super Pooper","Upper Bulge Routes > (f) West Face Bulge Routes > Tahquitz Rock > Tahquitz & Suicide Rocks > California",https://www.mountainproject.com/route/105798965/super-pooper,3.4,-1,Trad,5.10b,4,500,33.76015,-116.6846
"Mammalary Magic","1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105731030/mammalary-magic,3.5,-1,"Trad, TR","5.10a R",1,60,43.4137,-89.6863
"Main Crack","Ed and Terry Wall > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741227/main-crack,3.4,-1,Trad,5.7,1,100,40.2645,-111.6232
"New Diversions","o. New Diversions > Lower Merced River Canyon > Yosemite National Park > California",https://www.mountainproject.com/route/105862924/new-diversions,3.6,-1,Trad,5.10a,2,115,37.72264,-119.70258
"St. Vitus' Dance","The Apron > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105843781/st-vitus-dance,3.4,-1,Trad,5.9,5,600,49.6863,-123.1474
"Brown Flake","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741587/brown-flake,3.5,-1,Trad,5.10d,1,90,42.08282,-113.72147
Torpedo,"Davidson Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105808238/torpedo,3.5,-1,Trad,5.10+,1,100,35.1381,-112.0282
"The Entertainer","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105943593/the-entertainer,3.4,-1,"Trad, TR",5.10a,1,65,38.08299,-81.08043
"Dappled Mare","Lost Horse Wall - Right Side > Lost Horse Wall > Lost Horse Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722305/dappled-mare,3.3,-1,Trad,5.8,4,300,34.02166,-116.1788
"Squeeze Play","Cerberus Gendarme > Zion National Park > Utah",https://www.mountainproject.com/route/105792795/squeeze-play,3.4,-1,Trad,5.10a,1,80,37.27435,-112.94437
"Right Chimney","The Three Penguins > Arches National Park > Moab Area > Utah",https://www.mountainproject.com/route/105718000/right-chimney,3.4,-1,Trad,5.10+,2,150,38.61925,-109.61802
"Waverly Wafer","The Cookie Cliff > h. Cookie Area > Lower Merced River Canyon > Yosemite National Park > California",https://www.mountainproject.com/route/105992951/waverly-wafer,3.4,-1,Trad,5.11a,1,85,37.71772,-119.71881
"Cave Route","Battle of the Bulge Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717361/cave-route,3.4,-1,Trad,5.10d,1,,38.03837,-109.54917
"Disco Duck","Waterfront, The > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741404/disco-duck,3.4,-1,Trad,5.10a,1,70,40.5739,-111.7562
Anasazi,"Supercrack Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717406/anasazi,3.4,-1,Trad,5.11-,1,120,38.03635,-109.54552
